air_carrier_id_pk,name,shortcut
19297,Not specified, QOZ
19298,Not specified, RAL
19299,Not specified, REA
19300,Not specified, RED
19301,Not specified, RHA
19302,Not specified, RIC
19303,Not specified, RID
19304,Not specified, RIO
19305,Not specified, RIV
19306,Not specified, RJS
19307,Not specified, ROE
19308,Not specified, ROY
19309,Not specified, RWG
19310,Not specified, SAJ
19311,Not specified, SAM
19312,Not specified, SAS
19313,Not specified, SAX
19314,Not specified, SBA
19315,Not specified, SBN
19316,Not specified, SCO
19317,Not specified, SCT
19318,Not specified, SCY
19319,Not specified, SEM
19320,Not specified, SFI
19321,Not specified, SFO
19322,Not specified, SFS
19323,Not specified, SHS
19324,Not specified, SHV
19325,Not specified, SIA
19326,Not specified, SJA
19327,Not specified, SKL
19328,Not specified, SKM
19329,Not specified, SMC
19330,Not specified, SNC
19331,Not specified, SNE
19332,Not specified, SOA
19333,Not specified, SOL
19334,Not specified, SPF
19335,Not specified, SRL
19336,Not specified, SSP
19337,Not specified, SSS
19338,Not specified, SST
19339,Not specified, STF
19340,Not specified, STR
19341,Not specified, SUI
19342,Not specified, SUT
19343,Not specified, SVL
19344,Not specified, SWA
19345,Not specified, TAC
19346,Not specified, TAL
19347,Not specified, TAS
19348,Not specified, TCA
19349,Not specified, TCE
19350,Not specified, TCI
19351,Not specified, TCL
19352,Not specified, TCO
19353,Not specified, TEN
19354,Not specified, TER
19355,Not specified, THO
19356,Not specified, TIA
19357,Not specified, TIS
19358,Not specified, TMA
19359,Not specified, TNS
19360,Not specified, TRP
19361,Not specified, TSI
19362,Not specified, TUL
19363,Not specified, TYE
19364,Not specified, UAI
19365,Not specified, USA
19366,Not specified, VAG
19367,Not specified, VER
19368,Not specified, VIG
19369,Not specified, VIN
19370,Not specified, VLY
19371,Not specified, WAC
19372,Not specified, WCA
19373,Not specified, WCI
19374,Not specified, WES
19375,Not specified, WET
19376,Not specified, WFS
19377,Not specified, WIA
19378,Not specified, WIL
19379,Not specified, WNG
19380,Not specified, ZFZ
19381,Not specified, ZIA
19382,Not specified, ZMZ
19383,Not specified, ZYZ
19384,Not specified, PSA
19385,Not specified, RV (1)
19386,Not specified, NW
19387,Not specified, WC
19388,Not specified, FTI
19389,Not specified, QH
19390,Not specified, OC
19391,Not specified, PS (1)
19392,Not specified, RIQ
19393,Not specified, WN
19394,Not specified, VL
19395,Not specified, RCA
19396,Not specified, QG
19397,Not specified, RC
19398,Not specified, DAU
19399,Not specified, NY
19400,Not specified, GIQ
19401,Not specified, CJ
19402,Not specified, UNQ
19403,Not specified, PTQ
19404,Not specified, ACD
19405,Not specified, ACL
19406,Not specified, ACW
19407,Not specified, AIG
19408,Not specified, AMT
19409,Not specified, BOI
19410,Not specified, CMB
19411,Not specified, DUZ
19412,Not specified, EEZ
19413,Not specified, FAA
19414,Not specified, FAC
19415,Not specified, PHR
19416,Not specified, ROS
19417,Not specified, RRT
19418,Not specified, SSA
19419,Not specified, XAA
19420,Not specified, XAC
19421,Not specified, XAJ
19422,Not specified, XAT
19423,Not specified, XBF
19424,Not specified, XBH
19425,Not specified, XBI
19426,Not specified, XBJ
19427,Not specified, XBQ
19428,Not specified, XBR
19429,Not specified, XAQ
19430,Not specified, XAZ
19431,Not specified, XBP
19432,Not specified, XBT
19433,Not specified, XBX
19434,Not specified, XAM
19435,Not specified, XAE
19436,Not specified, XAF
19437,Not specified, XAG
19438,Not specified, XAI
19439,Not specified, XAK
19440,Not specified, XAO
19441,Not specified, XAR
19442,Not specified, XAS
19443,Not specified, XAY
19444,Not specified, XBM
19445,Not specified, XAU
19446,Not specified, CGL
19447,Not specified, CL
19448,Not specified, AEQ
19449,Not specified, AGQ
19450,Not specified, AIQ
19451,Not specified, ALQ
19452,Not specified, AO
19453,Not specified, BLQ
19454,Not specified, BXQ
19455,Not specified, DA
19456,Not specified, DM
19457,Not specified, DOQ
19458,Not specified, DQQ
19459,Not specified, EBQ
19460,Not specified, ERQ
19461,Not specified, FAQ
19462,Not specified, HIQ
19463,Not specified, HRQ
19464,Not specified, HVQ
19465,Not specified, ICQ
19466,Not specified, IKQ
19467,Not specified, IN
19468,Not specified, IR
19469,Not specified, IXQ
19470,Not specified, JXQ
19471,Not specified, KKQ
19472,Not specified, KWQ
19473,Not specified, LIQ
19474,Not specified, MAQ
19475,Not specified, MGQ
19476,Not specified, MZ
19477,Not specified, NFQ
19478,Not specified, NKQ
19479,Not specified, NN
19480,Not specified, NSQ
19481,Not specified, NTQ
19482,Not specified, NUQ
19483,Not specified, ONQ
19484,Not specified, OWQ
19485,Not specified, PD (1)
19486,Not specified, PV
19487,Not specified, PW
19488,Not specified, QB
19489,Not specified, RB
19490,Not specified, RSQ
19491,Not specified, RY
19492,Not specified, SJQ
19493,Not specified, SSQ
19494,Not specified, ST
19495,Not specified, STQ
19496,Not specified, TLQ
19497,Not specified, TXQ
19498,Not specified, UMQ
19499,Not specified, VOQ
19500,Not specified, WDQ
19501,Not specified, WGQ
19502,Not specified, WM
19503,Not specified, XBV
19504,Not specified, YBQ
19505,Not specified, AE
19506,Not specified, ND
19507,Not specified, JU (1)
19508,Not specified, UT
19509,Not specified, HJ
19510,Not specified, SH
19511,Not specified, NBQ
19512,Not specified, SZQ
19513,Not specified, BOQ
19514,Not specified, ADQ
19515,Not specified, DO
19516,Not specified, WT
19517,Not specified, PZ
19518,Not specified, GE
19519,Not specified, VA (1)
19520,Not specified, ED
19521,Not specified, CF
19522,Not specified, GU
19523,Not specified, CP (1)
19524,Not specified, GY
19525,Not specified, ESQ
19526,Not specified, ON
19527,Not specified, PL
19528,Not specified, BBQ
19529,Not specified, SN (1)
19530,Not specified, RK
