delay_id_pk,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,other_type_delay
97927,29.0,0.0,0.0,0.0,118.0,-16.0
97928,131.0,0.0,0.0,0.0,0.0,-12.0
97943,9.0,0.0,3.0,0.0,9.0,3.0
97955,372.0,0.0,0.0,0.0,0.0,-6.0
97990,0.0,0.0,0.0,0.0,64.0,-19.0
97992,5.0,0.0,0.0,0.0,98.0,-3.0
98032,16.0,0.0,0.0,0.0,38.0,-1.0
98065,14.0,0.0,0.0,0.0,28.0,-4.0
98066,4.0,0.0,0.0,0.0,71.0,-13.0
98089,16.0,9.0,0.0,0.0,0.0,-4.0
98090,5.0,17.0,35.0,0.0,31.0,0.0
98098,8.0,0.0,0.0,0.0,9.0,-18.0
98112,0.0,0.0,18.0,0.0,0.0,-12.0
98134,0.0,0.0,0.0,0.0,88.0,-16.0
98137,0.0,0.0,179.0,0.0,0.0,-3.0
98187,0.0,0.0,54.0,0.0,0.0,22.0
98194,24.0,0.0,0.0,0.0,45.0,-10.0
98195,0.0,7.0,0.0,0.0,16.0,-13.0
98219,116.0,0.0,0.0,0.0,6.0,-25.0
98276,23.0,0.0,0.0,0.0,0.0,-17.0
98280,6.0,0.0,0.0,0.0,19.0,-12.0
98282,96.0,0.0,0.0,0.0,0.0,-5.0
98292,11.0,0.0,1.0,0.0,115.0,1.0
98293,0.0,0.0,1.0,0.0,25.0,-16.0
98309,0.0,0.0,142.0,0.0,0.0,-15.0
98317,0.0,64.0,0.0,0.0,0.0,-5.0
98324,37.0,0.0,2.0,0.0,0.0,2.0
98340,34.0,0.0,0.0,0.0,100.0,-24.0
98354,10.0,0.0,0.0,0.0,17.0,-10.0
98412,16.0,0.0,4.0,0.0,22.0,-9.0
98413,26.0,0.0,0.0,0.0,1.0,-14.0
98440,3.0,0.0,7.0,0.0,8.0,7.0
98501,0.0,0.0,17.0,0.0,0.0,-21.0
98510,0.0,0.0,16.0,0.0,0.0,-14.0
98559,42.0,0.0,8.0,0.0,0.0,8.0
98562,0.0,0.0,29.0,0.0,0.0,-14.0
98590,9.0,0.0,0.0,0.0,74.0,-17.0
98593,0.0,115.0,0.0,0.0,0.0,-5.0
98602,0.0,0.0,7.0,0.0,27.0,-7.0
98636,0.0,9.0,4.0,0.0,40.0,4.0
98667,52.0,0.0,0.0,0.0,0.0,-30.0
98675,0.0,81.0,0.0,0.0,0.0,-7.0
98683,46.0,0.0,0.0,0.0,4.0,-9.0
98693,296.0,0.0,26.0,0.0,0.0,26.0
98703,358.0,0.0,2.0,0.0,0.0,2.0
98712,154.0,0.0,0.0,0.0,0.0,-26.0
98741,16.0,0.0,0.0,0.0,133.0,-16.0
98744,21.0,0.0,0.0,0.0,4.0,-26.0
98759,10.0,0.0,0.0,0.0,27.0,-9.0
98767,8.0,0.0,25.0,0.0,0.0,-6.0
98768,25.0,0.0,0.0,0.0,3.0,-12.0
